Nr,ES_ID,Comp_ID,Exp_ID,Study_ID,Shared_control,Within_exp_id,Control_id,First_author,Year,J_abbr_name,animal,Strain,Dam_diet_choice_chow,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_lactation_incl,Dam_diet_duration,Dam_diet_contr_code,Dam_diet_contr_E,Dam_diet_contr_PNP,Dam_diet_exp_code,Dam_diet_exp_E,Dam_diet_exp_PNP,Offspr_diet_code,Offspr_diet_E,Offspr_diet_PNP,Offspr_diet_start_dPC,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,FoodIntake_age_dPC,Bodyweight_age_dPC,Measurement_duration,FoodIntake_mean_contr,FoodIntake_SD_contr,FoodIntake_N_contr,FoodIntake_mean_exp,FoodIntake_SD_exp,FoodIntake_N_exp,FoodIntake_Cd,FoodIntake_Cd_Var,FoodIntake_Hd,FoodIntake_Hd_Var,FoodIntake_Hd_Var_combined,FoodIntake_N_total,Bodyweight_mean_contr,Bodyweight_SD_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_SD_exp,Bodyweight_N_exp,Bodyweight_Cd,Bodyweight_Cd_Var,Bodyweight_Hd,Bodyweight_Hd_Var,Bodyweight_Hd_Var_combined,Bodyweight_N_total,Offspr_data_source,Paper_measur_type,Comments
11,ES051,Comp0147,Exp023,Study021,no,1,Exp023_FM_0_1,Chen,2009,Plos ONE,rat,Sprague-Dawley,choice,-35,42,yes,77,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,42,yes,yes,FM,148,52,1,1.21,0.45033321,12,1.176,0.373148764,10,-0.0815,0.1835,-0.0784,0.1698,0.183486997,22,690.6,91.10587248,12,706.6,85.90972006,12,0.1807,0.1673,0.1745,0.156,0.167358718,24,Tab3,kcal/day,"CS HFD vs. HS HFD, body weight Tab3; "
12,ES054,Comp0150,Exp025,Study023,no,1,Exp025_M_0_1,Rajia,2010,J Neuroendocrinol,rat,Sprague-Dawley,choice,-35,42,yes,77,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,42,no,no,M,127,92,80,2.034,0.115991379,14,1.98,0.193649167,15,-0.3354,0.14,-0.326,0.1323,0.140063312,29,353.71,8.538149682,10,425.62,14.19862669,10,6.1381,1.1419,5.8787,1.0474,1.15997538,20,Tab3,kcal/day,CNH vs. HNH; body weight Fig1B at 10 weeks
13,ES050,Comp0146,Exp023,Study021,no,2,Exp023_FM_0_2,Chen,2009,Plos ONE,rat,Sprague-Dawley,choice,-35,42,yes,77,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,42,yes,yes,FM,148,52,1,1.214,0.443405007,12,1.135,0.3880451,11,-0.189,0.175,-0.1822,0.1626,0.175032825,23,573.3,70.32126279,12,603.7,81.40638796,12,0.3997,0.17,0.3859,0.1585,0.170051185,24,Tab3,kcal/day,"CN HFD vs. HN HFD, body weight Tab3; "
14,ES314,Comp1469,Exp165,Study113,no,1,Exp165_F_0_1,Rajia,2012,thesis,rat,Sprague-Dawley,choice,-35,41,yes,76,stdGSSAU1,2.629,0.265767935,cafHFDAU1,3.657,0.214983713,cafHFDAU1,3.657,0.214983713,42,no,no,F,116,92,70,1.916,7.292490247,14,2.243,7.165721178,10,0.0452,0.1715,0.0436,0.1598,0.171471775,24,232.39,11.22497216,14,247.56,9.486832981,10,1.4381,0.2145,1.3885,0.2,0.215245213,24,"Fig5.5B, Fig5.1",kcal/day,CNH vs. HNH; mean body weight betweeweeks 5 and 15 calculatedfrom Fig 5.1
15,ES334,"Comp1570,Comp1571,Comp1572,Comp1573,Comp1574,Comp1575,Comp1576,Comp1577,Comp1578,Comp1579,Comp1580",Exp177,Study123,no,1,Exp177_M_0_1,Zhang ZY,2013,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,0,42,yes,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet1_SH,3.435,0.344153305,42,yes,no,M,119,119,77,0.785272727,0.431968854,7,0.751545455,0.729341172,4,-0.0614,0.393,-0.0561,0.3285,0.393031988,11,399.0036364,144.2798856,7,357.71,169.6455288,4,-0.2695,0.3962,-0.2464,0.3312,0.396230085,11,raw_data,g/day,NNND vs. MNND; from raw data (paper 2)
16,ES333,"Comp1564,Comp1565,Comp1566,Comp1567,Comp1568,Comp1569",Exp176,Study122,yes,1,Exp176_M_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,0,42,yes,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,42,yes,yes,M,84,84,42,0.8755,0.234022435,9,0.891166667,0.178810887,10,0.0758,0.2113,0.0724,0.1928,0.211204714,28,256.3516667,31.07340422,9,233.9366667,24.9694747,10,-0.8003,0.228,-0.7645,0.208,0.221547901,28,raw_data,g/day,CC1 vs. SS1; from raw data (paper 1)
17,ES331,"Comp1552,Comp1553,Comp1554,Comp1555,Comp1556,Comp1557",Exp176,Study122,yes,2,Exp176_M_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,0,21,yes,21,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,42,yes,yes,M,84,84,42,0.8755,0.234022435,9,0.881333333,0.232401592,9,0.025,0.2222,0.0238,0.2016,0.222232337,28,256.3516667,31.07340422,9,234.1883333,23.66837447,9,-0.8024,0.2401,-0.7642,0.2178,0.232650823,28,raw_data,g/day,CC1 vs. SC1; from raw data (paper 1)
18,ES330,"Comp1546,Comp1547,Comp1548,Comp1549,Comp1550,Comp1551",Exp176,Study122,yes,1,Exp176_F_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,0,21,yes,21,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,42,yes,yes,F,84,84,42,0.860166667,0.175266939,9,0.853833333,0.180623919,9,-0.0356,0.2223,-0.0339,0.2016,0.222242744,28,186.3133333,15.0593974,9,164.2866667,10.60228042,9,-1.6914,0.3017,-1.6108,0.2736,0.268555734,28,raw_data,g/day,CC1 vs. SC1; from raw data (paper 1)
19,ES332,"Comp1558,Comp1559,Comp1560,Comp1561,Comp1562,Comp1563",Exp176,Study122,yes,2,Exp176_F_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,0,42,yes,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,42,yes,yes,F,84,84,42,0.860166667,0.175266939,9,0.840833333,0.180753054,10,-0.1085,0.2114,-0.1036,0.1929,0.211302771,28,186.3133333,15.0593974,9,171.7883333,17.08165683,10,-0.8987,0.2324,-0.8585,0.212,0.224272223,28,raw_data,g/day,CC1 vs. SS1; from raw data (paper 1)
20,ES335,"Comp1581,Comp1582,Comp1583,Comp1584,Comp1585,Comp1586,Comp1587,Comp1588,Comp1589,Comp1590,Comp1591",Exp177,Study123,no,2,Exp177_M_0_2,Zhang ZY,2013,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,0,42,yes,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDietHF_SH,4.018,0.230251072,42,yes,no,M,119,119,77,0.729909091,0.657565206,8,0.719090909,0.556073246,4,-0.0172,0.375,-0.0159,0.3195,0.375012641,12,403.1381818,182.6512512,8,400.4254545,163.972941,4,-0.0153,0.375,-0.0141,0.3195,0.375009941,12,raw_data,g/day,NNHD vs. MNHD; from raw data (paper 2)
21,ES196,Comp0860,Exp116,Study075,no,1,Exp116_F_0_1,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,-35,43,yes,78,contr_FR2,3.75,0.271186441,HF_FR2,5.5,0.170212766,contr_FR1,4.3,0.184615385,43,yes,no,F,92,92,28,1.234,0.190525589,12,1.347,0.228630707,12,0.537,0.1727,0.5184,0.161,0.172774361,24,219.7,10.5,9,210.4,12.6,9,-0.8019,0.2401,-0.7637,0.2178,0.2404484,18,Tab2,kcal/day,Control vs. High-fat;  body weights Tab3 dayPG 92
22,ES193,"Comp0855,Comp0857",Exp114,Study074,yes,1,Exp114_M_1_SC,Kozak,2005,Eur J Neurosci,rat,Long-Evans,chow,-7,43,yes,50,contr_FR1,4.3,0.184615385,HF_FR1,6.47,0.125217391,contr_FR1,4.3,0.184615385,43,yes,yes,M,122,126,70,1.145,0.121194059,12,1.2565,0.1912799,12,0.6964,0.1768,0.6723,0.1648,0.172944268,36,234.33,9.046637497,33,203.98,12.4131382,24,-2.8671,0.1441,-2.8279,0.1402,0.120732004,82,textp2890,kcal/day,"Control vs. HF; no data on dams age, same animals as in Kozak 2000, body weights from Kozak 2000"
23,ES190,Comp0852,Exp113,Study073,yes,1,Exp113_M_1_SC,Kozak,2000,Dev Brain Res,rat,Long-Evans,chow,-7,43,yes,50,contr_FR1,4.3,0.184615385,HC_FR1,4.07,0.214925373,contr_FR1,4.3,0.184615385,43,yes,yes,M,210,210,1,0.755,1.998786632,12,0.764,1.399497053,12,0.0052,0.1667,0.005,0.1554,0.166667014,36,510,101.6787588,33,495.2,43.5,25,-0.1806,0.0706,-0.1781,0.0687,0.070496443,82,Fig2,g/day,"Control vs. HC, 0 NPY injection; no data on dams age, food intake over 6h only - extrapolated to 24h"
24,ES192,"Comp0854,Comp0856",Exp114,Study074,yes,2,Exp114_M_1_SC,Kozak,2005,Eur J Neurosci,rat,Long-Evans,chow,-7,43,yes,50,contr_FR1,4.3,0.184615385,HC_FR1,4.07,0.214925373,contr_FR1,4.3,0.184615385,43,yes,yes,M,122,126,70,1.145,0.121194059,12,1.161,0.125952372,12,0.1295,0.167,0.125,0.1557,0.166883681,36,234.33,9.046637497,33,232.84,12.69852354,25,-0.1384,0.0705,-0.1366,0.0686,0.070416808,82,textp2890,kcal/day,"Control vs. HC; no data on dams age, same animals as in Kozak 2000, body weights from Kozak 2000"
25,ES191,Comp0853,Exp113,Study073,yes,2,Exp113_M_1_SC,Kozak,2000,Dev Brain Res,rat,Long-Evans,chow,-7,43,yes,50,contr_FR1,4.3,0.184615385,HF_FR1,6.47,0.125217391,contr_FR1,4.3,0.184615385,43,yes,yes,M,210,210,1,0.755,1.998786632,12,0.882,5.570275397,12,0.0303,0.1667,0.0293,0.1554,0.16667859,36,510,101.6787588,33,442.8,41.15142768,24,-0.8196,0.0779,-0.8083,0.0757,0.075953532,82,Fig2,g/day,"Control vs. HF, 0 NPY injection; no data on dams age, food intake over 6h only - extrapolated to 24h"
26,ES194,Comp0858,Exp115,Study075,no,1,Exp115_M_0_1,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,-35,43,yes,78,contr_FR2,3.75,0.271186441,HF_FR2,5.5,0.170212766,contr_FR2,3.75,0.271186441,43,yes,no,M,92,92,28,1.127,0.204381995,12,1.164,0.23548036,11,0.1684,0.1749,0.1623,0.1624,0.174869598,23,342.5,19.8,9,340.7,30.6,9,-0.0698,0.2224,-0.0665,0.2017,0.222360418,18,Tab2,kcal/day,Control vs. High-fat;  body weights Tab3 dayPG 92
27,ES202,Comp0866,Exp119,Study076,no,1,Exp119_F_0_1,Couvreur,2011,Plos ONE,rat,Wistar,chow,-42,48,yes,90,contr_FR3,3.714,0.292275574,HF_FR3,5.713,0.148803539,contr_FR3,3.714,0.292275574,97,yes,no,F,134,134,37,0.998,0.18243355,18,0.952,0.142070405,24,-0.2867,0.0982,-0.2812,0.0945,0.09821064,42,266,25.45584412,18,248,19.59591794,24,-0.8081,0.105,-0.7928,0.1011,0.10507887,42,Tab5,kcal/g/day,MCC vs. MCH; Experiment 2
28,ES200,Comp0864,Exp118,Study076,no,1,Exp118_M_0_1,Couvreur,2011,Plos ONE,rat,Wistar,chow,-42,48,yes,90,contr_FR3,3.714,0.292275574,HF_FR3,5.713,0.148803539,contr_FR3,3.714,0.292275574,97,yes,no,M,134,134,37,0.877,0.164972725,21,0.944,0.183303028,21,0.3842,0.097,0.377,0.0934,0.097014708,42,483,54.99090834,21,417,50.40833264,21,-1.2512,0.1139,-1.2276,0.1096,0.114075617,42,Tab5,kcal/g/day,MCC vs. MCH; Experiment 2
29,ES198,Comp0862,Exp117,Study076,no,1,Exp117_M_0_1,Couvreur,2011,Plos ONE,rat,Wistar,chow,-42,50,yes,92,contr_FR3,3.714,0.292275574,pal_FR3,3.919,0.170899313,contr_FR3,3.714,0.292275574,50,yes,no,M,92,92,28,0.887,0.236,16,0.852,0.32,16,-0.1245,0.1252,-0.1213,0.119,0.125245228,32,453.9,76.33936075,20,449.36,88.36940647,20,-0.055,0.1,-0.0539,0.0961,0.100038226,40,Tab2,kcal/day,CC vs. CP; Experiment 1
30,ES262,Comp1239,Exp143,Study091,no,1,Exp143_M_0_1,Gugusheff,2013,J Dev Orig Health Disease,rat,Wistar,choice,-35,22,no,57,contrSFAU1,3.65,0.280701754,JunkFoodAU1,5.055,0.089674499,contrSFAU1,3.65,0.280701754,42,yes,yes,M,92,85,50,2.097,0.252675681,5,2.009,0.324229857,5,-0.3028,0.4046,-0.2735,0.3301,0.337073446,12,479.25,31.88632936,5,414.56,41.41197894,5,-1.7504,0.5532,-1.581,0.4513,0.556222563,10,"text p351, Fig2",g/g/day,"males: C-C vs. JF-C at 10 weeks, before self-selection diet; no info on age at mating"
31,ES263,Comp1240,Exp143,Study091,no,1,Exp143_F_0_1,Gugusheff,2013,J Dev Orig Health Disease,rat,Wistar,choice,-35,22,no,57,contrSFAU1,3.65,0.280701754,JunkFoodAU1,5.055,0.089674499,contrSFAU1,3.65,0.280701754,42,yes,yes,F,92,85,50,1.987,0.183357574,5,2.351,0.348826604,5,1.3063,0.4853,1.1799,0.3959,0.402941534,12,330.66,11.6051928,5,278.69,24.37314095,5,-2.7226,0.7706,-2.4591,0.6287,0.777948301,10,"text p351, Fig2",g/g/day,"females: C-C vs. JF-C at 10 weeks, before self-selection diet; no info on age at mating"
32,ES295,Comp1348,Exp156,Study104,yes,1,Exp156_FM_1_SC,Jacobs,2014,Physiol Behav,rat,Wistar,choice,-70,0,no,70,CR1NutriLab_BR,3.44,0.34375,CAF_BR,NA,NA,CR1NutriLab_BR,3.44,0.34375,42,yes,no,FM,111,111,70,1.602,0.186574382,10,1.622,0.290929545,10,0.0818,0.2002,0.0784,0.1836,0.200076832,40,174.95,20.2701998,10,167.8,28.20751673,10,-0.2911,0.2021,-0.2788,0.1854,0.200971618,40,Tab3,g/day,CON-CON vs. CAF-CON; 
33,ES294,Comp1347,Exp156,Study104,yes,2,Exp156_FM_1_SC,Jacobs,2014,Physiol Behav,rat,Wistar,choice,-70,42,yes,112,CR1NutriLab_BR,3.44,0.34375,CAF_BR,NA,NA,CR1NutriLab_BR,3.44,0.34375,42,yes,no,FM,111,111,70,1.602,0.186574382,10,1.508,0.183412104,10,-0.5081,0.2065,-0.4866,0.1894,0.202959745,40,174.95,20.2701998,10,189.6,22.89489026,10,0.6775,0.2115,0.6489,0.194,0.20526339,40,Tab3,g/day,CON-CON vs. CAF-CAF; 
34,ES308,"Comp1459,Comp1460,Comp1461,Comp1462,Comp1463",Exp162,Study110,no,1,Exp162_M_0_1,Mucellini,2014,Brit J Nutr,rat,Wistar,choice,-150,42,yes,192,CR1NutriLab_BR,3.44,0.34375,CAF_BR,NA,NA,CR1NutriLab_BR,3.44,0.34375,37,,yes,M,126,126,70,0.6888,0.119331471,16,0.697,0.139388665,21,0.0625,0.1102,0.0612,0.1055,0.110172554,37,71.556,8.283129843,16,75.314,9.733697139,21,0.4111,0.1124,0.4023,0.1076,0.112431123,37,"Fig2,3",g/day,CON-CON vs. CAF-CON; 
35,ES293,Comp1346,Exp156,Study104,yes,3,Exp156_FM_1_SC,Jacobs,2014,Physiol Behav,rat,Wistar,choice,0,42,yes,42,CR1NutriLab_BR,3.44,0.34375,CAF_BR,NA,NA,CR1NutriLab_BR,3.44,0.34375,42,yes,no,FM,111,111,70,1.602,0.186574382,10,1.555,0.237170825,10,-0.2203,0.2012,-0.211,0.1846,0.200556513,40,174.95,20.2701998,10,174.8,25.58282627,10,-0.0065,0.2,-0.0062,0.1835,0.200000481,40,Tab3,g/day,CON-CON vs. CON-CAF; 
36,ES184,Comp0812,Exp109,Study070,no,1,Exp109_F_0_1,Oliveira,2011,Lipids,rat,Wistar,chow,1,43,yes,42,CR1Nuvital_BR,3.52,0.333333333,HLNuvital_BR,4.59,0.173913043,CR1Nuvital_BR,3.52,0.333333333,43,yes,no,F,107,107,5,0.316,0.300416378,10,0.411,0.562885424,10,0.2106,0.2011,0.2017,0.1845,0.20113008,20,323.91,81.17566754,10,377.52,107.4541949,10,0.563,0.2079,0.5392,0.1907,0.208076018,20,Fig1,g/g/day,"C vs. HL, body weight on day 113 ; no data on temperature and photperiod"
37,ES110,"Comp0503,Comp0505",Exp062,Study042,no,1,Exp062_M_0_1,White,2009,Am J Physiol Regul Integr Comp Physiol,rat,Long-Evans,chow,-28,43,yes,71,D12450B,3.847,0.249431634,D12492,5.241,0.249940377,D12450B,3.847,0.249431634,43,yes,no,M,148,113,105,1.3965,0.253155091,15,1.664,0.394854404,15,0.8065,0.1442,0.7847,0.1365,0.144328942,30,269.8,29.00432726,15,296.92,32.15650401,15,0.8857,0.1464,0.8617,0.1386,0.146592742,30,"Fig5B,A",g/day,"LF vs. HF; no info on temperature, used body weight from week6"
38,ES104,Comp0497,Exp056,Study040,no,1,Exp056_M_0_1,Page,2009,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,-30,43,yes,73,D12450B,3.847,0.249431634,D12451,4.76,0.252631579,D12450B,3.847,0.249431634,43,yes,no,M,142,142,56,0.703,0.083138439,12,0.678,0.083138439,12,-0.3007,0.1686,-0.2903,0.1571,0.168581987,24,544,33.60178567,12,605,34.98742631,12,1.7783,0.2326,1.717,0.2168,0.233668689,24,Table2,kcal/day,Control chow vs. HF chow; no info on dame age
39,ES322,Comp1498,Exp170,Study118,no,1,Exp170_M_0_1,Turdi,2013,J Mol Cell Cardiol,mouse,FVB,chow,2,42,yes,40,D12450B,3.847,0.249431634,D12451,4.76,0.252631579,D12450B,3.847,0.249431634,42,no,no,M,162,162,120,1.246,0.404098998,14,1.306,0.235724415,14,0.1814,0.1434,0.1761,0.1352,0.143453512,28,26.7,2.993325909,14,29.1,4.864154603,14,0.5943,0.1492,0.577,0.1406,0.149259624,28,Tab2,kcal/day,"MLPLvs. MHPL; diet codes from (Turdi, Hu,Ren 2013)"
40,ES328,"Comp1520,Comp1521,Comp1522,Comp1523,Comp1524,Comp1525,Comp1526,Comp1527,Comp1528,Comp1529,Comp1530,Comp1531,Comp1532,Comp1533,Comp1534,Comp1535,Comp1536",Exp174,Study120,yes,1,Exp174_M_1_SC,Platt,2014,J Dev Orig Health Disease,mouse,ICR,chow,-28,35,yes,63,D12450B,3.847,0.249431634,D12492,5.241,0.249940377,D12450B,3.847,0.249431634,35,yes,no,M,378,378,329,0.930588235,0.171034224,16,0.852411765,0.157814113,11,-0.4713,0.1575,-0.457,0.1481,0.155895389,42,40.82764706,7.20875285,16,41.84882353,7.302119354,11,0.1409,0.1538,0.1367,0.1446,0.153631554,42,raw_data,g/day,10MLard vs. 60MLard; lard-fed groups only (most common treatment)
