Comp_ID,ES_ID,Exp_ID,Study_ID,First_author,Year,Journal_ID,J_abbr_name,J_IF,animal,Strain,Dam_intake_measured,Dam_VitMin_eql,Dam_AdLib_contr,Dam_AdLib_exp,Dam_caloric_restr,Dam_choice_diet,Dam_diet_code_contr,Dam_diet_code_exp,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_start_exp_dPC_RAT,Dam_diet_end_exp_dPC_RAT,Dam_diet_lactation_incl,Dam_age_mating_d,Dam_N_contr,Dam_N_exp,Temperature,Photoperiod,Litter_size,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,Offspr_housing,Offspr_diet_code,Offspr_choice_diet,Offspr_diet_start_dPC,Intake_age_dPC,TBodyweight_age_dPC,Intake_duration,RelIntake_mean_contr,RelIntake_SE_contr,RelIntake_N_contr,RelIntake_mean_exp,RelIntake_SE_exp,RelIntake_N_exp,RelIntake_Cd,RelIntake_Hd,RelIntake_HdVar,Bodyweight_mean_contr,Bodyweight_SE_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_SE_exp,Bodyweight_N_exp,Bodyweight_Cd,Bodyweight_Hd,Bodyweight_HdVar,AbsIntake_mean_contr,AbsIntake_SE_contr,AbsIntake_N_contr,AbsIntake_mean_exp,AbsIntake_SE_exp,AbsIntake_N_exp,AbsIntake_Cd,AbsIntake_Hd,AbsIntake_HdVar,RelIntake2_mean_contr,RelIntake2_SE_contr,RelIntake_N_contr,RelIntake2_mean_exp,RelIntake2_SE_exp,RelIntake_N_exp,RelIntake2_Cd,RelIntake2_Hd,RelIntake2_HdVar,Offspr_data_source,Comments,Preference,IntakeTBW_SE_imputed,TBodyweight_SE_imputed,Comments,Original_measur_units,Paper_topic,Suppl_files
Comp0066,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,120,120,7,0.2385,0.0088,12,0.2191,0.0102,14,-0.559,-0.541,0.161,474.94,11.62,12,532.35,17.09,14,1.056,1.022,0.177,113.29,5.03,12,116.61,6.59,14,0.153,0.149,0.155,1.114,0.056,12.000,1.052,0.068,14.000,-0.267,-0.258,0.156,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0067,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,127,127,7,0.2316,0.0099,12,0.2216,0.0160,14,-0.200,-0.194,0.156,501.60,10.25,12,535.08,29.39,14,0.397,0.384,0.158,116.16,5.51,12,118.58,10.77,14,0.075,0.072,0.155,1.096,0.057,12.000,1.066,0.113,14.000,-0.089,-0.086,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0068,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,134,134,7,0.2260,0.0111,12,0.2042,0.0127,14,-0.498,-0.482,0.160,522.78,17.08,12,573.35,23.92,14,0.656,0.635,0.163,118.12,6.99,12,117.06,8.79,14,-0.036,-0.035,0.155,1.080,0.073,12.000,0.999,0.086,14.000,-0.279,-0.270,0.156,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0069,ES036,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,M,not known,RM1,0,44,141,141,7,0.2122,0.0128,12,0.1988,0.0114,14,-0.308,-0.299,0.157,528.25,24.60,12,577.45,28.02,14,0.511,0.495,0.160,112.09,8.55,12,114.80,8.61,14,0.088,0.085,0.155,1.017,0.091,12.000,0.975,0.087,14.000,-0.133,-0.129,0.155,Fig1c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig1a",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0070,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,50,50,7,0.4148,0.0545,12,0.4049,0.0842,14,-0.037,-0.036,0.155,93.44,4.92,12,89.34,17.21,14,-0.084,-0.081,0.155,38.76,5.49,12,36.17,10.25,14,-0.083,-0.081,0.155,1.290,0.195,12.000,1.245,0.427,14.000,-0.036,-0.034,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0071,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,57,57,7,0.4485,0.0874,12,0.3786,0.0253,14,-0.323,-0.313,0.157,107.38,18.85,12,134.43,4.51,14,0.589,0.570,0.162,48.16,12.64,12,50.89,3.80,14,0.087,0.084,0.155,1.444,0.456,12.000,1.289,0.106,14.000,-0.140,-0.135,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0072,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,64,64,7,0.3996,0.0547,12,0.3574,0.0167,14,-0.309,-0.300,0.157,145.49,18.44,12,170.90,4.10,14,0.568,0.550,0.161,58.14,10.85,12,61.09,3.20,14,0.109,0.106,0.155,1.388,0.313,12.000,1.292,0.074,14.000,-0.125,-0.121,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0073,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,72,72,8,0.3636,0.0269,12,0.3364,0.0091,14,-0.401,-0.388,0.158,183.20,12.71,12,201.23,3.69,14,0.573,0.555,0.161,66.62,6.76,12,67.69,2.22,14,0.063,0.061,0.155,1.338,0.164,12.000,1.267,0.048,14.000,-0.174,-0.168,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0074,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,78,78,6,0.3263,0.0196,12,0.3251,0.0123,14,-0.020,-0.020,0.155,209.02,11.48,12,222.13,4.51,14,0.443,0.429,0.159,68.20,5.55,12,72.22,3.09,14,0.259,0.250,0.156,1.241,0.122,12.000,1.255,0.059,14.000,0.044,0.043,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0075,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,85,85,7,0.3193,0.0165,12,0.3030,0.0120,14,-0.321,-0.311,0.157,229.10,9.02,12,236.48,7.79,14,0.245,0.237,0.156,73.15,4.75,12,71.64,3.69,14,-0.100,-0.097,0.155,1.242,0.094,12.000,1.188,0.073,14.000,-0.182,-0.176,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0076,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,92,92,7,0.3040,0.0126,12,0.2865,0.0090,14,-0.452,-0.437,0.159,247.95,6.97,12,257.79,4.51,14,0.479,0.464,0.159,75.37,3.78,12,73.87,2.66,14,-0.131,-0.127,0.155,1.206,0.069,12.000,1.148,0.046,14.000,-0.282,-0.273,0.156,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0077,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,100,100,8,0.2833,0.0124,12,0.2972,0.0113,14,0.327,0.316,0.157,254.92,9.02,12,262.30,7.38,14,0.252,0.244,0.156,72.22,4.06,12,77.96,3.69,14,0.412,0.399,0.158,1.132,0.075,12.000,1.196,0.066,14.000,0.253,0.245,0.156,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0078,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,106,106,6,0.2989,0.0133,12,0.2757,0.0094,14,-0.571,-0.553,0.161,255.33,11.07,12,279.10,6.97,14,0.736,0.713,0.165,76.31,4.74,12,76.95,3.25,14,0.045,0.044,0.155,1.195,0.091,12.000,1.127,0.055,14.000,-0.259,-0.251,0.156,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0079,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,113,113,7,0.2844,0.0126,12,0.2785,0.0085,14,-0.156,-0.151,0.155,273.36,9.84,12,288.93,6.56,14,0.532,0.515,0.160,77.75,4.44,12,80.47,3.07,14,0.203,0.197,0.156,1.156,0.078,12.000,1.148,0.051,14.000,-0.035,-0.034,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0080,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,120,120,7,0.2787,0.0107,12,0.2685,0.0105,14,-0.267,-0.259,0.156,280.74,9.43,12,299.18,9.02,14,0.555,0.537,0.161,78.25,3.98,12,80.33,3.97,14,0.145,0.140,0.155,1.141,0.070,12.000,1.117,0.065,14.000,-0.100,-0.097,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0081,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,127,127,7,0.2578,0.0123,12,0.2552,0.0117,14,-0.059,-0.057,0.155,295.49,7.79,12,310.25,9.43,14,0.465,0.450,0.159,76.17,4.14,12,79.18,4.36,14,0.195,0.189,0.156,1.069,0.065,12.000,1.071,0.067,14.000,0.010,0.010,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0082,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,134,134,7,0.2648,0.0091,12,0.2581,0.0135,14,-0.158,-0.153,0.155,293.03,7.38,12,307.38,9.02,14,0.474,0.459,0.159,77.60,3.29,12,79.33,4.75,14,0.114,0.110,0.155,1.096,0.054,12.000,1.081,0.072,14.000,-0.064,-0.062,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0083,ES037,Exp017,Study016,Khan,2003,J009,Hypertension,6.908,rat,Sprague-Dawley,yes,yes,yes,yes,0,0,RM3v1,RM3lard,-10,44,-10,44,1,,12,14,,,8,yes,no,F,not known,RM1,0,44,141,141,7,0.2459,0.0144,12,0.2443,0.0171,14,-0.028,-0.027,0.155,304.51,14.75,12,314.75,16.39,14,0.180,0.174,0.155,74.87,5.68,12,76.88,6.70,14,0.088,0.086,0.155,1.027,0.092,12.000,1.029,0.104,14.000,0.005,0.005,0.155,Fig1d,"females: Control vs. Lard fed, food intake per g calculated using body weighs Fig1b",0,0,0,"not sure about N per group, no info on temperature and photoperiod, housing",g/day,0,calculations_MAME_FB_Comp056to0083
Comp0084,ES038,Exp018,Study017,Nivoit,2009,J010,Diabetologia,6.973,rat,Wistar,yes,yes,yes,yes,0,0,RM3v2,RM3vAFE,-60,43,-60,43,1,81,14,16,20,14,8,yes,no,M,not known,RM3v2,0,43,50,50,1,0.4784,0.0059,15,0.4497,0.0054,10,-1.379,-1.334,0.205,90.91,3.03,15,90.91,1.82,10,0.000,0.000,0.167,43.49,1.55,15,40.88,0.95,10,-0.519,-0.502,0.172,1.477,0.072,15.000,1.389,0.043,10.000,-0.381,-0.368,0.170,Fig3c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig3a",0,0,0,,g/day,1,calculations_MAME_FB_Comp084to0115
Comp0085,ES038,Exp018,Study017,Nivoit,2009,J010,Diabetologia,6.973,rat,Wistar,yes,yes,yes,yes,0,0,RM3v2,RM3vAFE,-60,43,-60,43,1,81,14,16,20,14,8,yes,no,M,not known,RM3v2,0,43,57,57,1,0.4040,0.0034,15,0.4129,0.0011,10,0.839,0.811,0.181,140.61,2.42,15,141.21,1.82,10,0.074,0.072,0.167,56.80,1.09,15,58.31,0.77,10,0.414,0.401,0.170,1.391,0.036,15.000,1.423,0.026,10.000,0.268,0.259,0.168,Fig3c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig3a",0,0,0,,g/day,1,calculations_MAME_FB_Comp084to0115
Comp0086,ES038,Exp018,Study017,Nivoit,2009,J010,Diabetologia,6.973,rat,Wistar,yes,yes,yes,yes,0,0,RM3v2,RM3vAFE,-60,43,-60,43,1,81,14,16,20,14,8,yes,no,M,not known,RM3v2,0,43,64,64,1,0.3501,0.0032,15,0.3808,0.0015,10,3.033,2.933,0.354,193.94,2.43,15,195.15,3.64,10,0.118,0.114,0.167,67.90,1.05,15,74.31,1.41,10,1.515,1.465,0.213,1.306,0.026,15.000,1.423,0.038,10.000,1.075,1.040,0.190,Fig3c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig3a",0,0,0,,g/day,1,calculations_MAME_FB_Comp084to0115
Comp0087,ES038,Exp018,Study017,Nivoit,2009,J010,Diabetologia,6.973,rat,Wistar,yes,yes,yes,yes,0,0,RM3v2,RM3vAFE,-60,43,-60,43,1,81,14,16,20,14,8,yes,no,M,not known,RM3v2,0,43,71,71,1,0.3000,0.0028,15,0.3184,0.0015,10,2.049,1.981,0.252,240.61,3.03,15,246.06,3.64,10,0.469,0.453,0.171,72.17,1.14,15,78.35,1.21,10,1.477,1.428,0.211,1.181,0.024,15.000,1.261,0.027,10.000,0.891,0.861,0.183,Fig3c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig3a",0,0,0,,g/day,1,calculations_MAME_FB_Comp084to0115
Comp0088,ES038,Exp018,Study017,Nivoit,2009,J010,Diabetologia,6.973,rat,Wistar,yes,yes,yes,yes,0,0,RM3v2,RM3vAFE,-60,43,-60,43,1,81,14,16,20,14,8,yes,no,M,not known,RM3v2,0,43,78,78,1,0.2831,0.0026,15,0.3072,0.0014,10,2.884,2.789,0.336,278.18,1.82,15,297.58,6.06,10,1.471,1.422,0.211,78.75,0.89,15,91.43,1.91,10,2.734,2.644,0.319,1.156,0.015,15.000,1.276,0.037,10.000,1.385,1.339,0.206,Fig3c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig3a",0,0,0,,g/day,1,calculations_MAME_FB_Comp084to0115
Comp0089,ES038,Exp018,Study017,Nivoit,2009,J010,Diabetologia,6.973,rat,Wistar,yes,yes,yes,yes,0,0,RM3v2,RM3vAFE,-60,43,-60,43,1,81,14,16,20,14,8,yes,no,M,not known,RM3v2,0,43,106,106,1,0.2205,0.0023,15,0.2258,0.0013,10,0.716,0.693,0.177,375.76,8.48,15,417.58,7.88,10,1.394,1.348,0.206,82.87,2.05,15,94.28,1.86,10,1.580,1.528,0.217,0.971,0.033,15.000,1.021,0.028,10.000,0.440,0.425,0.171,Fig3c,"males: Control vs. Lard fed, food intake per g calculated using body weighs Fig3a",0,0,0,,g/day,1,calculations_MAME_FB_Comp084to0115
