nr,ES_ID,Comp_ID,Exp_ID,Study_ID,First_author,Year,J_abbr_name,animal,Strain,Dam_choice_diet,Dam_diet_start_exp_dPC,Dam_diet_end_exp_dPC,Dam_diet_lactation_incl,Dam_diet_duration,Dam_diet_code_contr,Dam_diet_contr_E,Dam_diet_contr_PNP_kcal,Dam_diet_code_exp,Dam_diet_exp_E,Dam_diet_exp_PNP_kcal,Offspr_diet_code,Offspr_diet_E,Offspr_diet_PNP_kcal,Offspr_diet_prot_pww,Offspr_diet_start_dPC,Litter_size_equalized,Offspr_crossfosterd,Offspr_sex,Bodyweight_mean_contr,Bodyweight_N_contr,Bodyweight_mean_exp,Bodyweight_N_exp,AbsIntake_mean_contr,AbsIntake_N_contr,AbsIntake_mean_exp,AbsIntake_N_exp,RelIntake_mean_contr,RelIntake_N_contr,RelIntake_mean_exp,RelIntake_N_exp,RelIntake2_mean_contr,RelIntake2_mean_exp,Bodyweight_SE_contr,Bodyweight_SE_exp,AbsIntake_SE_contr,AbsIntake_SE_exp,RelIntake_SE_contr,RelIntake_SE_exp,RelIntake2_SE_contr,RelIntake2_SE_exp,Intake_age_dPC,Intake_duration,TBodyweight_age_dPC,Offspr_data_source,Comments,Original_measur_units,Suppl_files,Bodyweight_SD_contr,Bodyweight_SD_exp,AbsIntake_SD_contr,AbsIntake_SD_exp,RelIntake_SD_contr,RelIntake_SD_exp,RelIntake2_SD_contr,RelIntake2_SD_exp,Bodyweight_Cd,Bodyweight_Cd_Var,Bodyweight_Hd,Bodyweight_Hd_Var,AbsIntake_Cd,AbsIntake_Cd_Var,AbsIntake_Hd,AbsIntake_Hd_Var,RelIntake_Cd,RelIntake_Cd_Var,RelIntake_Hd,RelIntake_Hd_Var,RelIntake2_Cd,RelIntake2_Cd_Var,RelIntake2_Hd,RelIntake2_Hd_Var,Exp_ID_sex,shared_control,within_exp_id,control_id,Bodyweight_N_total,Intake_N_total,Bodyweight_Hd_Var_adj,RelIntake2_Hd_Var_adj,Bodyweight_Hd_Var_combined,RelIntake2_Hd_Var_combined
15,ES334,"Comp1570,Comp1571,Comp1572,Comp1573,Comp1574,Comp1575,Comp1576,Comp1577,Comp1578,Comp1579,Comp1580",Exp177,Study123,Zhang ZY,2013,Clin Exp Pharm Physio,rat,Sprague-Dawley,1,0,42,1,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet1_SH,3.435,0.344153305,22,42,yes,no,M,399.0036364,7,357.71,4,66.26181818,7,59.29727273,4,0.184745455,7,0.181727273,4,0.785272727,0.751545455,54.53267094,84.82276442,9.228487023,9.148773887,0.041080221,0.109155789,0.16326888,0.364670586,119,77,119,raw_data,NNND vs. MNND; from raw data (paper 2),g/day,calculations_MAME_FB_Comp1570to1591,144.2798856,169.6455288,24.41628164,18.29754777,0.108688048,0.218311579,0.431968854,0.729341172,-0.2695,0.3962,-0.2464,0.3312,-0.3087,0.3972,-0.2822,0.332,-0.0196,0.3929,-0.0179,0.3284,-0.0614,0.393,-0.0561,0.3285,Exp177_M,0,1,Exp177_M_0_1,11,11,0.395616823,0.393000198,0.396230085,0.393031988
16,ES333,"Comp1564,Comp1565,Comp1566,Comp1567,Comp1568,Comp1569",Exp176,Study122,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,1,0,42,1,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,20.5,42,yes,yes,M,256.3516667,9,233.9366667,10,52.62166667,9,51.02833333,10,0.23215,9,0.23905,10,0.8755,0.891166667,10.35780141,7.896041202,4.114624325,2.534294774,0.021711633,0.016282148,0.078007478,0.056544967,84,42,84,raw_data,CC1 vs. SS1; from raw data (paper 1),g/day,calculations_MAME_FB_Comp1546to1569,31.07340422,24.9694747,12.34387297,8.014143747,0.065134898,0.051488672,0.234022435,0.178810887,-0.8003,0.228,-0.7645,0.208,-0.155,0.2117,-0.148,0.1932,0.1183,0.2115,0.113,0.193,0.0758,0.2113,0.0724,0.1928,Exp176_M,1,1,Exp176_M_1_SC,28,28,0.221547901,0.211204714,0.221547901,0.211204714
17,ES331,"Comp1552,Comp1553,Comp1554,Comp1555,Comp1556,Comp1557",Exp176,Study122,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,1,0,21,1,21,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,20.5,42,yes,yes,M,256.3516667,9,234.1883333,9,52.62166667,9,50.21166667,9,0.23215,9,0.237333333,9,0.8755,0.881333333,10.35780141,7.889458156,4.114624325,3.406518262,0.021711633,0.022208482,0.078007478,0.077467197,84,42,84,raw_data,CC1 vs. SC1; from raw data (paper 1),g/day,calculations_MAME_FB_Comp1546to1569,31.07340422,23.66837447,12.34387297,10.21955478,0.065134898,0.066625446,0.234022435,0.232401592,-0.8024,0.2401,-0.7642,0.2178,-0.2127,0.2235,-0.2026,0.2027,0.0787,0.2224,0.0749,0.2017,0.025,0.2222,0.0238,0.2016,Exp176_M,1,2,Exp176_M_1_SC,28,28,0.232650823,0.222232337,0.232650823,0.222232337
18,ES330,"Comp1546,Comp1547,Comp1548,Comp1549,Comp1550,Comp1551",Exp176,Study122,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,1,0,21,1,21,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,20.5,42,yes,yes,F,186.3133333,9,164.2866667,9,42.25166667,9,38.03666667,9,0.238966667,9,0.246416667,9,0.860166667,0.853833333,5.019799133,3.534093472,2.052145219,2.483096186,0.017800843,0.018016983,0.058422313,0.060207973,84,42,84,raw_data,CC1 vs. SC1; from raw data (paper 1),g/day,calculations_MAME_FB_Comp1546to1569,15.0593974,10.60228042,6.156435657,7.449288557,0.053402528,0.054050948,0.175266939,0.180623919,-1.6914,0.3017,-1.6108,0.2736,-0.6168,0.2328,-0.5874,0.2111,0.1387,0.2228,0.1321,0.202,-0.0356,0.2223,-0.0339,0.2016,Exp176_F,1,1,Exp176_F_1_SC,28,28,0.268555734,0.222242744,0.268555734,0.222242744
19,ES332,"Comp1558,Comp1559,Comp1560,Comp1561,Comp1562,Comp1563",Exp176,Study122,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,1,0,42,1,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDiet2_SH,3.334,0.326173429,20.5,42,yes,yes,F,186.3133333,9,171.7883333,10,42.25166667,9,38.47333333,10,0.238966667,9,0.239616667,10,0.860166667,0.840833333,5.019799133,5.401694179,2.052145219,1.755353716,0.017800843,0.017748944,0.058422313,0.057159135,84,42,84,raw_data,CC1 vs. SS1; from raw data (paper 1),g/day,calculations_MAME_FB_Comp1546to1569,15.0593974,17.08165683,6.156435657,5.55091584,0.053402528,0.056127088,0.175266939,0.180753054,-0.8987,0.2324,-0.8585,0.212,-0.6466,0.2221,-0.6176,0.2027,0.0118,0.2111,0.0113,0.1926,-0.1085,0.2114,-0.1036,0.1929,Exp176_F,1,2,Exp176_F_1_SC,28,28,0.224272223,0.211302771,0.224272223,0.211302771
20,ES335,"Comp1581,Comp1582,Comp1583,Comp1584,Comp1585,Comp1586,Comp1587,Comp1588,Comp1589,Comp1590,Comp1591",Exp177,Study123,Zhang ZY,2013,Clin Exp Pharm Physio,rat,Sprague-Dawley,1,0,42,1,42,ChowDiet1_SH,3.435,0.344153305,ChowDietSuppl_SH,NA,NA,ChowDietHF_SH,4.018,0.230251072,18.8,42,yes,no,M,403.1381818,8,400.4254545,4,63.09090909,8,62.07818182,4,0.170709091,8,0.1679,4,0.729909091,0.719090909,64.57696916,81.9864705,6.571387013,8.966636645,0.066037386,0.0767665,0.232484408,0.278036623,119,77,119,raw_data,NNHD vs. MNHD; from raw data (paper 2),g/day,calculations_MAME_FB_Comp1570to1591,182.6512512,163.972941,18.58668927,17.93327329,0.186781934,0.153532999,0.657565206,0.556073246,-0.0153,0.375,-0.0141,0.3195,-0.0551,0.3751,-0.0508,0.3196,-0.0158,0.375,-0.0146,0.3195,-0.0172,0.375,-0.0159,0.3195,Exp177_M,0,2,Exp177_M_0_2,12,12,0.375008284,0.375010534,0.375009941,0.375012641
21,ES196,Comp0860,Exp116,Study075,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,0,-35,43,1,78,contr_FR2,3.75,0.271186441,HF_FR2,5.5,0.170212766,contr_FR1,4.3,0.184615385,18,43,yes,no,F,219.7,9,210.4,9,70.4,12,74.4,12,0.3204,12,0.3536,12,1.234,1.347,3.5,4.2,2.96,3.34,0.0125,0.0142,0.055,0.066,92,28,92,Tab2,Control vs. High-fat;  body weights Tab3 dayPG 92,kcal/day,calculations_MAME_FB_Comp0858to0861,10.5,12.6,10.25374078,11.57009939,0.04330127,0.049190243,0.190525589,0.228630707,-0.8019,0.2401,-0.7637,0.2178,0.3659,0.1695,0.3533,0.158,0.7165,0.1774,0.6917,0.1653,0.537,0.1727,0.5184,0.161,Exp116_F,0,1,Exp116_F_0_1,18,24,0.238423269,0.172265387,0.2404484,0.172774361
22,ES193,"Comp0855,Comp0857",Exp114,Study074,Kozak,2005,Eur J Neurosci,rat,Long-Evans,0,-7,43,1,50,contr_FR1,4.3,0.184615385,HF_FR1,6.47,0.125217391,contr_FR1,4.3,0.184615385,18,43,yes,yes,M,234.33,33,203.98,24,57.44,12,54.84,12,0.33215,12,0.39255,12,1.145,1.2565,1.57481745,2.533821225,0.980051019,1.00623059,0.002707397,0.004013104,0.034985711,0.055217751,122,70,126,textp2890,"Control vs. HF; no data on dams age, same animals as in Kozak 2000, body weights from Kozak 2000",kcal/day,calculations_MAME_FB_Comp0852to0857,9.046637497,12.4131382,3.394996318,3.485685012,0.009378699,0.013901798,0.121194059,0.1912799,-2.8671,0.1441,-2.8279,0.1402,-0.7557,0.1786,-0.7296,0.1665,5.0936,0.7072,4.918,0.6593,0.6964,0.1768,0.6723,0.1648,Exp114_M,1,1,Exp114_M_1_SC,82,36,0.120732004,0.172944268,0.120732004,0.172944268
23,ES190,Comp0852,Exp113,Study073,Kozak,2000,Dev Brain Res,rat,Long-Evans,0,-7,43,1,50,contr_FR1,4.3,0.184615385,HC_FR1,4.07,0.214925373,contr_FR1,4.3,0.184615385,18,43,yes,yes,M,510,33,495.2,25,81,12,80.22,12,0.1588,12,0.162,12,0.755,0.764,17.7,8.7,61.86,42.43,0.1212,0.0856,0.577,0.404,210,1,210,Fig2,"Control vs. HC, 0 NPY injection; no data on dams age, food intake over 6h only - extrapolated to 24h",g/day,calculations_MAME_FB_Comp0852to0857,101.6787588,43.5,214.2893259,146.9818315,0.419849116,0.296527098,1.998786632,1.399497053,-0.1806,0.0706,-0.1781,0.0687,-0.0042,0.1667,-0.0041,0.1554,0.0088,0.1667,0.0085,0.1554,0.0052,0.1667,0.005,0.1554,Exp113_M,1,1,Exp113_M_1_SC,82,36,0.070496443,0.166667014,0.070496443,0.166667014
24,ES192,"Comp0854,Comp0856",Exp114,Study074,Kozak,2005,Eur J Neurosci,rat,Long-Evans,0,-7,43,1,50,contr_FR1,4.3,0.184615385,HC_FR1,4.07,0.214925373,contr_FR1,4.3,0.184615385,18,43,yes,yes,M,234.33,33,232.84,25,57.44,12,58.45,12,0.33215,12,0.33865,12,1.145,1.161,1.57481745,2.539704707,0.980051019,0.907331252,0.002707397,0.002435159,0.034985711,0.036359318,122,70,126,textp2890,"Control vs. HC; no data on dams age, same animals as in Kozak 2000, body weights from Kozak 2000",kcal/day,calculations_MAME_FB_Comp0852to0857,9.046637497,12.69852354,3.394996318,3.143087654,0.009378699,0.008435639,0.121194059,0.125952372,-0.1384,0.0705,-0.1366,0.0686,0.3087,0.1687,0.2981,0.1572,0.7287,0.1777,0.7036,0.1657,0.1295,0.167,0.125,0.1557,Exp114_M,1,2,Exp114_M_1_SC,82,36,0.070416808,0.166883681,0.070416808,0.166883681
